"";"x";"y";"category";"name"
"1";41;0;"M";"Johan Johansson"
"2";46;0;"M";"Krister Hammarbergh"
"3";54;606;"S";"Kerstin Nilsson"
"4";63;1660;"C";"Staffan Danielsson"
"5";53;1959;"M";"Ulf Berg"
"6";48;3100;"S";"Marie Granlund"
"7";55;858;"S";"Leif Jakobsson"
"8";36;1239;"S";"Hillevi Larsson"
"9";44;887;"S";"Per Svedberg"
"10";47;966;"M";"Ulrik Nilsson"
"11";40;1684;"M";"Cecilie Tenfjord-Toftby"
"12";32;1063;"S";"Elin Lundgren"
"13";43;1428;"S";"Jasenko Omanovic"
"14";54;2711;"S";"Raimo Pärssinen"
"15";34;0;"S";"Johan Löfstrand"
"16";38;2626;"S";"Louise Malmström"
"17";62;630;"S";"Billy Gustafsson"
"18";56;696;"S";"Anna-Lena Sörenson"
"19";48;1741;"S";"Johan Andersson"
"20";38;912;"C";"Helena Lindahl"
"21";36;1197;"V";"Rossana Dinamarca"
"22";45;0;"C";"Annika Qarlsson"
"23";36;502;"C";"Johan Linander"
"24";66;1288;"C";"Per-Ingvar Johnsson"
"25";41;820;"M";"Camilla Waltersson Grönvall"
"26";63;1855;"M";"Ann-Britt Åsebol"
"27";24;1333;"M";"Carl-Oskar Bohlin"
"28";62;2707;"S";"Susanne Eberstein"
"29";54;811;"S";"Eva Sonidsson"
"30";54;343;"S";"Ingemar Nilsson"
"31";45;1858;"S";"Christina Karlsson"
"32";23;1268;"C";"Emil Källström"
"33";45;4737;"S";"Kent Härstedt"
"34";59;3211;"M";"Per Westerberg"
"35";51;999;"M";"Lotta Finstorp"
"36";51;609;"M";"Walburga Habsburg Douglas"
"37";39;411;"FP";"Emma Carlsson Löfdahl"
"38";38;0;"S";"Ibrahim Baylan"
"39";56;0;"S";"Katarina Köhler"
"40";43;0;"S";"Isak From"
"41";38;0;"S";"Helén Pettersson"
"42";56;451;"V";"Marianne Berg"
"43";47;4603;"M";"Gunilla Carlsson"
"44";54;1351;"M";"Finn Bengtsson"
"45";37;904;"M";"Andreas Norlén"
"46";43;1369;"M";"Gunnar Axén"
"47";55;602;"MP";"Valter Mutt"
"48";27;2751;"MP";"Lise Nordin"
"49";56;561;"FP";"Christer Winbäck"
"50";39;2269;"M";"Jan R Andersson"
"51";29;926;"M";"Jenny Petersson"
"52";58;1198;"KD";"Lars-Axel Nordell"
"53";52;1510;"C";"Åsa Torstensson"
"54";51;1046;"M";"Ellen Juntti"
"55";34;5088;"M";"Henrik von Sydow"
"56";53;1053;"M";"Anne Marie Brodén"
"57";53;0;"M";"Michael Svensson"
"58";53;1356;"S";"Patrik Björck"
"59";45;1252;"M";"Elisabeth Björnsdotter Rahm"
"60";44;769;"M";"Ann-Charlotte Hammar Johnsson"
"61";64;883;"M";"Göran Montan"
"62";41;838;"M";"Boriana Åberg"
"63";54;1199;"M";"Christer Akej"
"64";45;3979;"S";"Urban Ahlin"
"65";45;0;"M";"Hans Wallmark"
"66";44;0;"M";"Anette Åkesson"
"67";50;2690;"S";"Monica Green"
"68";49;499;"V";"Mia Sydow Mölleby"
"69";48;5166;"M";"Cecilia Magnusson"
"70";33;2502;"M";"Lars Hjälmered"
"71";53;2225;"M";"Susanna Haby"
"72";48;738;"M";"Hans Rothenberg"
"73";44;772;"M";"Abdirizak Waberi"
"74";32;1725;"C";"Fredrick Federley"
"75";44;459;"M";"Jörgen Andersson"
"76";49;1087;"C";"Ola Johansson"
"77";42;1588;"M";"Henrik Ripa"
"78";46;702;"FP";"Allan Widman"
"79";41;907;"FP";"Christer Nylander"
"80";64;645;"FP";"Ulf Nilsson"
"81";44;754;"FP";"Tina Acketoft"
"82";71;255;"SD";"Tony Wiklander"
"83";32;4082;"M";"Tomas Tobé"
"84";62;1154;"M";"Margareta B Kjellin"
"85";43;739;"M";"Lars Beckman"
"86";47;979;"V";"Ulla Andersson"
"87";53;602;"M";"Gunilla Nordgren"
"88";49;1238;"M";"Jan Ericson"
"89";37;1205;"S";"Fredrik Olovsson"
"90";44;1041;"S";"Maria Stenberg"
"91";40;2265;"S";"Christer Engelhardt"
"92";61;0;"M";"Eva Lohman"
"93";54;849;"FP";"Maria Lundqvist-Brömster"
"94";61;700;"M";"Gustav Nilsson"
"95";53;0;"S";"Carina Ohlsson"
"96";42;1243;"M";"Elisabeth Svantesson"
"97";30;727;"M";"Oskar Öholm"
"98";50;335;"M";"Lotta Olsson"
"99";48;2958;"S";"Peter Johnsson"
"100";59;924;"S";"Christina Oskarsson"
"101";47;567;"S";"Jörgen Hellman"
"102";43;710;"C";"Roger Tiefensee"
"103";45;5507;"V";"Jonas Sjöstedt"
"104";48;832;"S";"Christer Adelsbo"
"105";55;827;"S";"Kerstin Haglö"
"106";42;1426;"S";"Peter Jeppsson"
"107";52;991;"S";"Suzanne Svensson"
"108";50;0;"MP";"Tina Ehn"
"109";64;975;"V";"Bengt Berg"
"110";56;1079;"S";"Thomas Strand"
"111";53;1388;"S";"Catharina Bråkenhielm"
"112";62;969;"S";"Kerstin Engle"
"113";33;671;"M";"Linda Andersson"
"114";56;0;"M";"Thomas Finnborg"
"115";36;0;"M";"Gustaf Hoffstedt"
"116";57;2648;"S";"Karin Åström"
"117";33;1754;"S";"Fredrik Lundh Sammeli"
"118";56;877;"S";"Leif Pettersson"
"119";33;2763;"S";"Hannah Bergstedt"
"120";55;17674;"S";"Sven-Erik Bucht"
"121";50;0;"MP";"Gunvor G Ericson"
"122";58;1628;"S";"Jan-Olof Larsson"
"123";44;794;"C";"Per Lodenius"
"124";62;1409;"S";"Kurt Kvarnström"
"125";27;6220;"MP";"Gustav Fridolin"
"126";63;849;"S";"Carin Runeson"
"127";41;436;"SD";"Sven-Olof Sällström"
"128";32;376;"SD";"Johnny Skalin"
"129";54;2469;"S";"Helene Petersson"
"130";58;551;"KD";"Lars Gustafsson"
"131";55;1241;"KD";"Anders Andersson"
"132";55;5496;"S";"Peter Persson"
"133";53;3501;"S";"Carina Hägg"
"134";59;2700;"S";"Anders Karlsson"
"135";57;1088;"S";"Ann Arleklo"
"136";40;728;"M";"Patrick Reslow"
"137";34;554;"M";"Olof Lavesson"
"138";51;2897;"M";"Ewa Thalén Finné"
"139";34;2271;"M";"Anders Hansson"
"140";37;3522;"S";"Matilda Ernkrans"
"141";40;2164;"S";"Morgan Johansson"
"142";61;526;"S";"Bo Bernhardsson"
"143";31;317;"MP";"Magnus Ehrencrona"
"144";30;875;"SD";"Julia Kronlid"
"145";58;967;"V";"Siv Holma"
"146";51;877;"MP";"Jabar Amin"
"147";41;605;"MP";"Ulf Holm"
"148";27;4919;"C";"Annie Johansson"
"149";33;1757;"FP";"Nina Larsson"
"150";61;855;"FP";"Anita Brodén"
"151";58;439;"MP";"Jan Lindholm"
"152";42;1209;"FP";"Johan Pehrson"
"153";54;4962;"KD";"Maria Larsson"
"154";50;1198;"KD";"Stefan Attefall"
"155";34;2605;"M";"Edward Riedl"
"156";47;446;"FP";"Hans Backman"
"157";55;928;"C";"Kerstin Lundgren"
"158";60;479;"MP";"Kew Nordqvist"
"159";52;640;"MP";"Bodil Ceballos"
"160";52;5394;"MP";"Peter Eriksson"
"161";48;225;"MP";"Esabelle Dingizian"
"162";55;320;"MP";"Mats Pertoft"
"163";51;370;"KD";"Désirée Pethrus Engström"
"164";48;1057;"MP";"Annika Lillemets"
"165";44;1943;"S";"Gunilla Carlsson"
"166";60;687;"S";"Lars Johansson"
"167";43;1964;"S";"Shadiye Heydari"
"168";36;710;"S";"Mattias Jonsson"
"169";49;353;"S";"Cecilia Dalman Eek"
"170";25;2142;"MP";"Maria Ferm"
"171";45;2263;"S";"Annelie Karlsson"
"172";48;5220;"S";"Håkan Juholt"
"173";36;2574;"S";"Lena Hallengren"
"174";57;1438;"S";"Krister Örnfjäder"
